id,genres
1,action
2,scifi
3,fantasy
4,comedy
5,drama
6,western
7,romance
8,animation
9,thriller
10,european
11,family
12,music
13,horror
14,crime
15,documentation
16,war
17,reality
18,history
19,
20,sport
